15539
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
99423687,0,0,50.57593,34.83913,-7.6,1.798983E-18,0,0.05624445
99423828,0,0,50.58253,34.83913,-7.6,1.798983E-18,0,0.1004002
99424000,0,0,50.5962,34.83913,-7.6,1.798983E-18,0,0.1652788
99424046,0,0,50.6078,34.83913,-7.6,1.798983E-18,0,0.1098513
99424171,0,0,50.62084,34.83913,-7.6,1.798983E-18,0,0.1331946
99424328,0,0,50.64223,34.83913,-7.6,1.813501E-18,0,0.1643271
99424390,0,0,50.66133,34.83913,-7.6,1.81345E-18,0,0.1501973
99424531,1,0,50.66618,34.83204,-7.599902,0.138973,0,0.05824399
99424671,1,0,50.64132,34.79751,-7.599438,0.4392731,0,0.1140841
99424828,1,0,50.56317,34.71393,-7.598268,0.9067345,0,0.0295967
99424890,1,0,50.42218,34.56948,-7.596074,1.447318,0,0.002876329
99425000,1,0,50.22046,34.36247,-7.592531,1.999611,0,0.07406418
99425171,0,0,49.95073,34.088,-7.587272,2.530314,0,0.08938038
99425250,0,0,49.63038,33.76331,-7.580298,2.878607,0,0.05082557
99425375,1,0,49.26632,33.39599,-7.571416,3.351542,0,0.05606634
99425531,1,0,48.82723,32.95382,-7.559354,4.080404,0,0.0667183
99425593,1,0,48.30138,32.42209,-7.542877,4.839196,0,0.1305681
99425734,1,0,47.68476,31.80397,-7.521035,5.788243,0,0.07583523
99425906,1,0,46.99117,31.10952,-7.493073,6.175524,0,0.1143181
99425953,1,0,46.21282,30.33066,-7.457178,6.777071,0,0.09212326
99426156,0,0,45.35528,29.47477,-7.412621,7.595831,0,0.07693876
99426265,0,0,44.45325,28.57629,-7.360167,7.764286,0,0.05652583
99426359,0,0,43.55282,27.67464,-7.304759,7.766159,0,0.1443105
99426468,0,0,42.67194,26.78346,-7.246993,7.542649,0,0.2318481
99426562,0,0,41.80389,25.90528,-7.182287,7.421399,0,0.1846675
99426718,1,0,40.93385,25.03365,-7.111558,7.286913,0,0.1554204
99426859,1,0,40.06008,24.15718,-7.034204,7.584577,0,0.1083649
99426921,1,0,39.14676,23.24332,-6.947926,8.088367,0,0.1479654
99427125,0,0,38.18541,22.28401,-6.850977,8.359815,0,0.1280815
99427234,0,0,37.21249,21.31031,-6.745103,8.398919,0,0.1920054
99427281,0,0,36.24281,20.33953,-6.631256,8.262813,0,0.1449203
99427406,0,0,35.28344,19.38167,-6.511779,8.216893,0,0.187226
99427562,0,0,34.33231,18.43238,-6.385677,8.272942,0,0.1901942
99427734,0,0,33.40095,17.50067,-6.255292,7.940577,0,0.1883008
99427781,0,0,32.47458,16.57603,-6.11864,8.07782,0,0.1702585
99427890,0,0,31.56714,15.67057,-5.978292,7.841206,0,0.2373228
99428062,0,0,30.67286,14.77894,-5.832842,7.710336,0,0.1764779
99428125,0,0,29.793,13.90192,-5.684049,7.588411,0,0.2306031
99428265,0,0,28.93417,13.04287,-5.532167,7.358452,0,0.2276337
99428359,0,0,28.07307,12.18693,-5.374038,7.302939,0,0.2035799
99428515,0,0,27.22181,11.34531,-5.213113,7.351473,0,0.2005297
99428625,0,0,26.38893,10.52311,-5.049048,7.264834,0,0.2747572
99428796,0,0,25.56492,9.714032,-4.880983,6.967744,0,0.2775776
99428890,0,0,24.75823,8.921697,-4.712929,6.954645,0,0.3559722
99429000,0,0,23.97572,8.144241,-4.546582,6.944272,0,0.5464441
99429156,0,0,23.23111,7.38695,-4.383217,6.846036,0,0.8329286
99429234,0,0,22.53725,6.659716,-4.223152,6.603614,0,1.089701
99429328,0,0,21.88298,5.958626,-4.064043,6.724277,0,1.474193
99429500,0,0,21.28376,5.302197,-3.908384,6.673469,0,1.756864
99429656,0,0,20.73155,4.694,-3.754511,6.418778,0,2.090544
99429718,0,0,20.22792,4.149364,-3.602187,6.465033,0,2.457203
99429828,0,0,19.77184,3.689694,-3.450719,6.313962,0,2.815252
99430000,0,0,19.36811,3.348788,-3.301012,6.138155,0,3.19779
99430046,0,0,19.01381,3.157771,-3.15161,6.462956,0,3.608259
99430156,0,0,18.73136,3.141146,-3.006168,6.104924,0,4.045228
99430328,0,0,18.51068,3.291487,-2.862496,6.444512,0,4.471783
99430500,0,0,18.34358,3.586135,-2.719082,6.151718,0,4.902171
99430546,0,0,18.24399,3.981918,-2.579302,6.062595,0,5.36438
99430703,0,0,18.18489,4.45977,-2.442542,5.989587,0,5.753162
99430859,0,0,18.12745,4.988795,-2.310978,5.95437,0,5.37626
99430921,0,0,18.06783,5.540052,-2.189285,5.505892,0,5.143607
99431031,0,0,17.98676,6.111914,-2.072752,5.361804,0,4.877901
99431187,0,0,17.87967,6.704991,-1.960112,5.669913,0,4.621538
99431250,0,0,17.75278,7.303272,-1.851697,5.589299,0,4.364715
99431359,1,0,17.59737,7.91091,-1.746334,5.755778,0,4.10668
99431562,1,0,17.37209,8.564959,-1.640035,6.016157,0,3.861171
99431625,0,0,17.05882,9.283968,-1.528629,6.677412,0,3.642618
99431765,0,0,16.64647,10.08082,-1.409961,7.17646,0,3.433475
99431921,0,0,16.19562,10.89821,-1.293951,7.280029,0,3.23487
99431984,0,0,15.72341,11.71919,-1.183826,7.153329,0,3.042558
99432093,0,0,15.23964,12.53322,-1.081696,6.818,0,2.845798
99432265,0,0,14.74227,13.33965,-0.9854596,6.845872,0,2.633226
99432312,0,0,14.23525,14.13619,-0.8958187,6.840289,0,2.456399
99432484,0,0,13.71406,14.92693,-0.8124406,6.697752,0,2.253216
99432593,0,0,13.18746,15.70877,-0.7340229,6.800315,0,2.184125
99432687,0,0,12.6745,16.48342,-0.6570411,6.325724,0,2.336557
99432796,0,1,12.24514,17.21447,-0.5826311,5.398576,0,2.758086
99433000,0,1,12.0905,17.72764,-0.5295863,3.592728,0,3.2288
99433046,0,1,12.1949,18.0384,-0.4973828,1.947588,0,3.681806
99433171,0,1,12.46995,18.23241,-0.4772807,1.341691,0,4.119113
99433328,0,0,12.87527,18.34768,-0.4654742,0.7309716,0,4.483802
99433421,0,0,13.36803,18.40683,-0.4596864,0.3782084,0,4.639564
