15840
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
4121140,0,0,50.57593,34.83913,-7.6,1.798983E-18,0,0.05624444
4121265,0,0,50.58362,34.83913,-7.6,1.798983E-18,0,0.06557836
4121375,0,0,50.59308,34.83913,-7.6,1.798983E-18,0,0.06954717
4121500,0,0,50.60281,34.83913,-7.6,1.798983E-18,0,0.1081273
4121609,0,0,50.61842,34.83913,-7.6,1.798983E-18,0,0.1532027
4121750,0,0,50.639,34.83913,-7.6,1.798983E-18,0,0.2415867
4121875,0,0,50.66408,34.83913,-7.6,1.813621E-18,0,0.1777369
4121984,1,0,50.68949,34.83787,-7.599987,0.05250525,0,0.2286474
4122093,1,0,50.68847,34.81687,-7.59985,0.3023358,0,0.1215691
4122234,1,0,50.63445,34.75396,-7.599053,0.7324308,0,0.02262482
4122343,1,0,50.51145,34.62918,-7.597362,1.292903,0,0
4122484,1,0,50.32803,34.44396,-7.594529,1.81553,0,0.02158979
4122578,1,0,50.07404,34.1911,-7.590091,2.393394,0,0.04327376
4122703,1,0,49.74654,33.8647,-7.583618,3.054223,0,0.05701201
4122828,1,0,49.33661,33.45807,-7.574418,3.762567,0,0
4122937,1,0,48.83989,32.96396,-7.561543,4.522024,0,0.01844015
4123062,1,0,48.25496,32.38515,-7.544109,4.988678,0,0
4123171,1,0,47.5776,31.71245,-7.520591,6.110137,0,0.01539712
4123296,1,0,46.82489,30.96644,-7.49062,6.682158,0,0.04349683
4123421,1,0,45.98302,30.1328,-7.4521,7.381106,0,0.04172311
4123531,1,0,45.0603,29.22096,-7.404238,7.982007,0,0
4123656,1,0,44.05527,28.22656,-7.344532,8.69115,0,0.07796875
4123781,1,0,42.96035,27.14668,-7.271324,9.526814,0,0
4123906,1,0,41.78606,25.9882,-7.182817,10.22551,0,0
4124046,1,0,40.53033,24.7478,-7.076425,10.91576,0,0.07133715
4124140,1,0,39.1871,23.42519,-6.949636,11.40489,0,0
4124250,1,0,37.76124,22.01988,-6.800323,12.24568,0,0.01614299
