Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
15539859,0,0,15.99972,0.04593061,0,1.932214E-07,0,0.02363526
15539984,0,0,16.00053,0.04593061,0,1.965054E-07,0,0.00073889
15540093,0,0,16.00583,0.04593061,0,2.027051E-07,0,0.01163258
15540218,0,0,16.01167,0.04593061,0,2.132301E-07,0,0.05133127
15540328,0,0,16.01902,0.04593061,0,2.167087E-07,0,0.08446521
15540453,0,0,16.03178,0.04593061,0,1.999869E-07,0,0.1379727
15540578,0,0,16.04412,0.04593061,0,1.873137E-07,0,0.1363942
15540703,0,0,16.05742,0.04593061,0,2.05968E-07,0,0.0809016
15540812,0,0,16.07011,0.04593061,0,2.080204E-07,0,0.09222327
15540937,0,0,16.08834,0.04593061,0,2.149187E-07,0,0.1413639
15541062,0,0,16.10694,0.04593061,0,1.995622E-07,0,0.1816235
15541171,0,0,16.12754,0.04593061,0,1.869351E-07,0,0.2179521
15541296,0,0,16.1495,0.04593061,0,1.999352E-07,0,0.1994735
15541406,0,0,16.17129,0.04593061,0,2.120454E-07,0,0.205646
15541546,0,0,16.19994,0.04593061,0,2.14017E-07,0,0.2062452
15541671,0,0,16.22758,0.04593061,0,1.986786E-07,0,0.2470931
15541859,0,0,16.25521,0.04593061,0,1.864981E-07,0,0.2254242
15541953,0.1382232,0,16.28341,0.04593892,0,0.04169169,0,0.2516073
15542015,0.3706124,0,16.30395,0.04805791,3.099442E-06,0.1736764,0,0.3061072
15542140,0.6514161,0,16.29064,0.07655662,-3.814697E-06,0.58706,0,0.3006261
15542265,0.3415638,0,16.22069,0.1707637,-9.942055E-05,1.009787,0,0.3045141
15542421,0.157589,0,16.122,0.3016861,-0.0002236366,1.156254,0,0.3169352
15542515,0.157589,0,16.00847,0.449654,-0.0003464222,1.301583,0,0.3122337
15542625,0.157589,0,15.88938,0.6089507,-0.0004549026,1.369688,0,0.3614812
15542781,0.1382232,0,15.7593,0.783197,-0.0005514622,1.503906,0,0.4134801
15542875,0.2060034,0,15.62287,0.9697139,-0.0008835793,1.603216,0,0.4342371
15542984,0.2544178,0,15.47535,1.172627,-0.001549244,1.754587,0,0.4732346
15543093,0.2737836,0,15.32044,1.39779,-0.002359748,1.965557,0,0.620791
15543234,0.4190269,0,15.15226,1.650751,-0.003259897,2.213097,0,0.7200295
15543328,0.4480756,0,14.96249,1.93734,-0.00431776,2.51124,0,0.8636686
15543468,0.5739531,0,14.746,2.267649,-0.005486488,2.906497,0,0.9754854
15543578,0.5642702,0,14.49272,2.64789,-0.006829858,3.339369,0,1.152039
15543734,0.4190269,0,14.20985,3.076298,-0.008343101,3.712466,0,1.29856
15543828,0.3028322,0,13.90846,3.542034,-0.009988308,3.987731,0,1.390263
15543984,0.01234569,0,13.60455,4.030618,-0.01171422,4.102454,0,1.592377
15544078,0,0,13.3191,4.519983,-0.01344299,4.058083,0,1.793636
15544171,0,0,13.06975,5.003403,-0.01515067,4.00779,0,1.985205
15544328,0,0,12.85145,5.480836,-0.016837,3.958117,0,2.251635
15544421,0,0,12.6659,5.952355,-0.01850259,3.909059,0,2.488963
15544531,0,0,12.51451,6.418033,-0.02014756,3.86061,0,2.729231
15544703,0,0,12.39945,6.87794,-0.02177203,3.812762,0,2.990237
15544796,0,0,12.32345,7.332148,-0.02337635,3.765506,1,3.292391
15544890,0.01234569,0,12.22886,7.780756,-0.02496099,3.720252,1,2.713369
15545046,0.02202857,0,12.07753,8.224654,-0.02652884,3.684224,1,2.220666
15545156,0.02202857,0,11.89169,8.664788,-0.02808344,3.656311,1,2.114536
15545250,0.02202857,0,11.70211,9.10162,-0.02962649,3.628931,1,2.057102
15545406,0.03171146,0,11.51229,9.535566,-0.03115928,3.608284,1,2.037744
15545500,0,0,11.32136,9.966704,-0.03268206,3.577763,1,1.989198
15545609,0,0,11.13358,10.39292,-0.03418756,3.533408,1,1.951725
15545765,0,0,10.94613,10.81386,-0.03567445,3.489615,1,1.911585
15545906,0,0,10.75886,11.22957,-0.03714287,3.446364,1,1.930965
15546000,0,0,10.56984,11.64014,-0.03859305,3.40365,1,1.848507
15546093,0,0,10.38342,12.04561,-0.04002523,3.361464,1,1.82068
