211132
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
73293421,0,0,50.57593,34.83913,-7.6,3.759765E-18,0,0.05624444
73293593,0,0,50.58362,34.83913,-7.6,3.759765E-18,0,0.06557836
73293656,0,0,50.59308,34.83913,-7.6,3.759765E-18,0,0.06954717
73293781,0,0,50.60281,34.83913,-7.6,3.759765E-18,0,0.1081273
73293890,0,0,50.61842,34.83913,-7.6,3.759765E-18,0,0.1532027
73294093,0,0,50.639,34.83913,-7.6,3.759765E-18,0,0.2415867
73294156,0,0,50.6641,34.83913,-7.6,3.759765E-18,0,0.1784279
73294250,0,0,50.69185,34.83913,-7.6,3.759765E-18,0,0.216032
73294453,0,0,50.72029,34.83913,-7.6,3.782211E-18,0,0.2070245
73294515,1,0,50.7412,34.83842,-7.599994,0.03639897,0,0.1370759
73294656,1,0,50.73081,34.8173,-7.599752,0.3820406,0,0.0411624
73294828,1,0,50.66021,34.74146,-7.598838,0.8855076,0,0.04871038
73294875,1,0,50.50156,34.58264,-7.596809,1.693059,0,0.02256497
73294984,1,0,50.2541,34.33707,-7.593359,2.378045,0,0.02983815
73295156,1,0,49.92447,34.00755,-7.587981,3.107373,0,0.04155936
73295218,1,0,49.5045,33.59003,-7.57995,3.865289,0,0.05013786
73295390,1,0,48.99361,33.08221,-7.568351,4.639778,0,0.04360375
73295484,1,0,48.3968,32.49103,-7.552347,5.385214,0,0.007985841
73295656,1,0,47.7035,31.80474,-7.530697,6.191961,0,0
73295718,1,0,46.91488,31.02381,-7.500552,7.00236,0,0.04119384
73295828,1,0,46.03643,30.15439,-7.46231,7.715011,0,0
73295984,1,0,45.07384,29.20212,-7.413955,8.406625,0,0.01074554
73296046,1,0,44.03089,28.17219,-7.35404,9.149044,0,0.01555661
73296218,1,0,42.91053,27.06531,-7.280003,9.734573,0,0.06140473
73296312,1,0,41.70334,25.87461,-7.190227,10.50394,0,0.05100549
73296484,1,0,40.41529,24.60496,-7.083285,11.27563,0,0.0463082
73296546,1,0,39.0607,23.27202,-6.957044,11.69491,0,0
73296656,1,0,37.62152,21.85591,-6.80766,12.48615,0,0.01875754
73296812,1,0,36.10674,20.36901,-6.634477,12.75497,0,0
73296984,1,0,34.50945,18.80322,-6.43335,13.53638,0,0.01062851
73297046,1,0,32.83522,17.16439,-6.201322,14.07326,0,0.02081938
73297156,1,0,31.0802,15.45044,-5.936001,14.94088,0,0.005433616
73297312,1,0,29.25181,13.67378,-5.636316,15.41674,0,0.06134733
73297375,1,0,27.34769,11.83286,-5.298084,15.96313,0,0.007142498
73297546,1,0,25.36658,9.936228,-4.91851,16.74656,0,0
73297656,0,0,23.31566,8.005853,-4.496543,17.26318,0,0.004375879
73297750,0,0,21.22642,6.108653,-4.043228,17.5056,0,0.01219602
73297859,0,0,19.1332,4.381215,-3.575674,17.43115,0,0.04401176
73298015,0,1,17.07114,3.152094,-3.109676,16.9247,0,0.095934
73298109,0,1,15.20266,2.996295,-2.686378,14.82886,0,0.07203297
73298218,0,1,13.58949,3.727922,-2.31932,12.75804,0,0.1897194
73298390,0,0,12.23037,4.718802,-2.007721,10.71195,0,0.2372387
73298453,0,0,11.12444,5.662393,-1.751179,8.690261,0,0.3330621
73298609,0,1,10.25852,6.454725,-1.55226,6.692529,0,0.2857259
73298750,0,1,9.623517,7.057134,-1.410696,4.718497,0,0.2186693
73298812,0,1,9.195304,7.467834,-1.318796,3.002476,0,0.1494974
73298953,0,1,8.952726,7.707047,-1.26633,1.710989,0,0.07351655
73299078,0,1,8.799474,7.861082,-1.233189,1.091753,0,0.07821778
73299171,0,1,8.725986,7.93806,-1.216818,0.4155008,0,0.09697767
73299343,0,1,8.724254,7.94548,-1.215269,0.1402762,0,0.02873695
73299453,0,1,8.745874,7.933081,-1.21789,0.09203149,0,0.08237077
