Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
16125546,0,0,15.99976,0.04593059,0,0,0,0.02363526
16125671,0,0,16.00058,0.04593059,0,0,0,0.00073889
16125796,0,0,16.00588,0.04593059,0,0,0,0.01163258
16125921,0,0,16.01172,0.04593059,0,0,0,0.05133127
16126031,0,0,16.01906,0.04593059,0,0,0,0.08446521
16126171,0,0,16.03182,0.04593059,0,0,0,0.1379727
16126281,0,0,16.04416,0.04593059,0,0,0,0.1363942
16126406,0,0,16.05747,0.04593059,0,0,0,0.0809016
16126531,0,0,16.07015,0.04593059,0,0,0,0.09222327
16126640,0,0,16.08838,0.04593059,0,0,0,0.1413639
16126750,0,0,16.10698,0.04593059,0,0,0,0.1816235
16126875,0,0,16.12758,0.04593059,0,0,0,0.2179521
16127000,0,0,16.14954,0.04593059,0,0,0,0.1994735
16127109,0,0,16.17134,0.04593059,0,0,0,0.205646
16127234,0,0,16.19998,0.04593059,0,0,0,0.2062452
16127359,0,0,16.22763,0.04593059,0,0,0,0.2470931
16127468,0,0,16.25526,0.04593059,0,0,0,0.2254242
16127609,0,0,16.28429,0.04593059,0,0,0,0.2516073
16127718,0,0,16.31809,0.04593059,0,0,0,0.3061072
16127828,0,0,16.35189,0.04593059,0,0,0,0.3006261
16127953,0,0,16.38516,0.04593059,0,0,0,0.3045141
16128078,0,0,16.42017,0.04593059,0,0,0,0.3169352
16128203,0,0,16.45577,0.04593059,0,0,0,0.3122337
16128312,0.3318809,0,16.4966,0.04593059,0,0,0,0.3614812
16128437,1,0,16.54115,0.04593059,0,0,0,0.4134801
16128578,1,0,16.59149,0.04593059,0,0,0,0.4342371
16128687,0.5836359,0,16.64707,0.04593059,0,0,0,0.4732346
16128796,0,0,16.71747,0.04593059,0,0,0,0.620791
16128906,0,0,16.80237,0.04593059,0,0,0,0.7200295
16129031,0,0,16.89928,0.04593059,0,0,0,0.8636686
16129156,0,0,17.01318,0.04593059,0,0,0,0.9754854
16129281,0,0,17.1402,0.04593059,0,0,0,1.152039
16129406,0,0.4868071,17.28579,0.04593059,0,0,0,1.29856
16129515,0,0.748245,17.45018,0.04593059,0,0,0,1.390263
16129625,0,0.9322198,17.63488,0.04593059,0,0,0,1.592377
16129750,0,1,17.83881,0.04593059,0,0,0,1.793636
16129890,0,1,18.0729,0.04593059,0,0,0,1.985205
16130000,0,1,18.33205,0.04593059,0,0,0,2.251635
16130109,0,0.8838054,18.61803,0.04593059,0,0,0,2.488963
16130250,0,0.4480756,18.93233,0.04593059,0,0,0,2.729231
16130359,0,0,19.27717,0.04593059,0,0,0,2.990237
16130468,0,0,19.65539,0.04593059,0,0,1,3.292391
16130593,0,0,20.0094,0.04593059,0,0,1,2.713369
16130703,0,0,20.30197,0.04593059,0,0,1,2.220666
16130859,0.5061729,0,20.55626,0.04593059,0,0,1,2.114536
16130968,0.8838054,0,20.80352,0.04593059,0,0,1,2.057102
16131078,1,0,21.04764,0.04593059,0,0,1,2.037744
16131218,1,0,21.28784,0.04593059,0,0,1,1.989198
16131328,1,0,21.52628,0.04593059,0,0,1,1.951725
16131484,1,0,21.75975,0.04593059,0,0,1,1.911585
16131546,0.7288792,0,21.9882,0.04593059,0,0,1,1.930965
16131687,0,0,22.20974,0.04593059,0,0,1,1.848507
16131796,0,0,22.42879,0.04593059,0,0,1,1.82068
16131921,0,0,22.6444,0.04593059,0,0,1,1.799786
16132046,0,0,22.85151,0.04593059,0,0,1,1.69565
16132156,0,0.7095134,23.05535,0.04593059,0,0,1,1.689412
16132296,0,0.8063423,23.25563,0.04593059,0,0,1,1.645605
16132406,0,0.912854,23.45246,0.04593059,0,0,1,1.603453
16132531,0,1,23.65337,0.04593059,0,0,0,1.750308
16132656,0,1,23.89808,0.04593059,0,0,0,2.242105
16132765,0,0.7869765,24.1983,0.04593059,0,0,0,2.691082
16132875,0,0,24.55272,0.04593059,0,0,0,3.129338
16133000,0,0,24.96197,0.04593059,0,0,0,3.578674
16133109,0,0,25.4245,0.04593059,0,0,0,4.025621
16133234,0,0,25.94004,0.04593059,0,0,0,4.475857
16133359,0,0,26.50753,0.04593059,0,0,0,4.908399
16133468,0,0,27.12379,0.04593059,0,0,0,5.370412
16133593,0,0,27.8016,0.04593059,0,0,0,6.129855
16133718,0,0,28.53158,0.04593059,0,0,0,6.268618
16133828,0,0,29.29772,0.04593059,0,0,0,6.599231
16133968,0,0,30.11566,0.04593059,0,0,0,7.073397
16134078,0,0,30.98512,0.04593059,0,0,0,7.347698
16134203,0,0,31.90756,0.04593059,0,0,0,8.109467
16134312,0,0,32.88011,0.04593059,0,0,0,8.524411
16134437,0,0,33.88989,0.04593059,0,0,0,8.611294
16134562,0,0,34.93698,0.04593059,0,0,0,8.938898
16134671,0,0,36.03636,0.04593059,0,0,0,9.168252
16134812,0,0,37.18494,0.04593059,0,0,0,9.77594
16134906,0.2447349,0,38.36303,0.04593059,0,0,0,10.23688
16135046,0.9322198,0,39.59514,0.04593059,0,0,0,10.46813
16135156,1,0,40.86614,0.04593059,0,0,0,11.00429
16135296,1,0,42.17023,0.04593059,0,0,0,10.90597
16135390,1,0,43.52285,0.04593059,0,0,0,11.46705
16135515,1,0,44.91022,0.04593059,0,0,1,11.38208
16135640,1,0,46.17452,0.04593059,0,0,1,9.972319
16135765,0.9903171,0,47.26827,0.04593059,0,0,1,8.582497
16135890,0.2931494,0,48.1582,0.04593059,0,0,1,6.586262
16136000,0,0,48.81089,0.04593059,0,0,1,4.645599
16136125,0,0,49.24864,0.04593059,0,0,1,2.939656
16136234,0,0.748245,49.50949,0.04593059,0,0,1,1.966336
16136343,0,0.8838054,49.74369,0.04593059,0,0,1,1.947445
16136484,0,1,49.97474,0.04593059,0,0,1,1.90103
16136593,0,0.5545873,50.20219,0.04593059,0,0,1,1.864878
16136734,0,0,50.42563,0.04593059,0,0,1,1.833214
16136828,0.05107722,0,50.64109,0.04593059,0,0,1,1.767848
16136968,0.4771242,0,50.85377,0.04593059,0,0,1,1.765989
16137078,1,0,51.06528,0.04593059,0,0,1,1.744899
16137203,1,0,51.27253,0.04593059,0,0,1,1.713727
16137312,1,0,51.47429,0.04593059,0,0,1,1.679448
16137437,1,0,51.67032,0.04593059,0,0,1,1.613833
16137546,1,0,51.88824,0.04593059,0,0,0,2.024826
16137687,1,0,52.16182,0.04593059,0,0,0,2.440742
16137796,1,0,52.48761,0.04593059,0,0,0,2.914015
16137921,1,0,52.86795,0.04593059,0,0,0,3.376157
16138031,1,0,53.30209,0.04593059,0,0,0,3.818157
16138171,1,0,53.78925,0.04593059,0,0,0,4.252214
16138281,1,0,54.32898,0.04593059,0,0,0,4.678853
16138390,1,0,54.9211,0.04593059,0,0,0,5.137193
