Time = 1:16:5.334, Vertical = 0, Distance = 16.00048, Driven = 0.007819285, Gap = -1.51.5,Speed = 0.001850392
Time = 1:16:5.459, Vertical = 0, Distance = 16.00748, Driven = 0.007536473, Gap = -1.51.5,Speed = 0.001648938
Time = 1:16:5.582, Vertical = 0, Distance = 16.02239, Driven = 0.007503692, Gap = -1.51.5,Speed = 0.0003927724
Time = 1:16:5.700, Vertical = 0, Distance = 16.04779, Driven = 0.007555187, Gap = -1.51.5,Speed = 0.0002796256
Time = 1:16:5.818, Vertical = 0, Distance = 16.08136, Driven = 0.007559365, Gap = -1.51.5,Speed = 7.812849E-05
Time = 1:16:5.934, Vertical = 0, Distance = 16.12887, Driven = 0.007549937, Gap = -1.51.5,Speed = 4.819371E-05
Time = 1:16:6.69, Vertical = 1, Distance = 16.19147, Driven = 0.007614555, Gap = -1.51.5,Speed = 0.01111314
Time = 1:16:6.169, Vertical = 1, Distance = 16.25908, Driven = 0.01721479, Gap = -1.4999981.5,Speed = 0.204861
Time = 1:16:6.286, Vertical = 1, Distance = 16.31714, Driven = 0.06279869, Gap = -1.5000021.5,Speed = 0.5381681
Time = 1:16:6.415, Vertical = 1, Distance = 16.35643, Driven = 0.1579458, Gap = -1.5000181.5,Speed = 0.9944137
Time = 1:16:6.533, Vertical = 1, Distance = 16.37462, Driven = 0.3119384, Gap = -1.5000271.5,Speed = 1.498904
Time = 1:16:6.669, Vertical = 1, Distance = 16.36995, Driven = 0.5317039, Gap = -1.500041.5,Speed = 2.076604
Time = 1:16:6.768, Vertical = 1, Distance = 16.34313, Driven = 0.825256, Gap = -1.5000571.5,Speed = 2.720234
Time = 1:16:6.885, Vertical = 1, Distance = 16.29425, Driven = 1.200871, Gap = -1.5000781.5,Speed = 3.432467
Time = 1:16:7.16, Vertical = 1, Distance = 16.22438, Driven = 1.665984, Gap = -1.5001051.5,Speed = 4.193829
Time = 1:16:7.133, Vertical = 1, Distance = 16.14022, Driven = 2.222228, Gap = -1.5001361.5,Speed = 4.949523
Time = 1:16:7.250, Vertical = 1, Distance = 16.05127, Driven = 2.868229, Gap = -1.5001731.5,Speed = 5.728319
Time = 1:16:7.365, Vertical = 1, Distance = 15.96139, Driven = 3.602829, Gap = -1.5002151.5,Speed = 6.473786
Time = 1:16:7.487, Vertical = 1, Distance = 15.87093, Driven = 4.425246, Gap = -1.5002621.5,Speed = 7.198261
Time = 1:16:7.635, Vertical = 1, Distance = 15.78374, Driven = 5.33484, Gap = -1.5003141.5,Speed = 7.911042
Time = 1:16:7.737, Vertical = 1, Distance = 15.69703, Driven = 6.330497, Gap = -1.5003711.5,Speed = 8.61481
