133513
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
305114390,0,0,50.57593,34.83913,-7.6,3.759765E-18,0,0.05624444
305114515,0,0,50.58362,34.83913,-7.6,3.759765E-18,0,0.06557836
305114640,0,0,50.59308,34.83913,-7.6,3.759765E-18,0,0.06954717
305114750,0,0,50.60281,34.83913,-7.6,3.759765E-18,0,0.1081273
305114859,0,0,50.61842,34.83913,-7.6,3.759765E-18,0,0.1532027
305114984,0,0,50.639,34.83913,-7.6,3.759765E-18,0,0.2415867
305115109,0,0,50.6641,34.83913,-7.6,3.759765E-18,0,0.1784279
305115234,0,0,50.69185,34.83913,-7.6,3.759765E-18,0,0.216032
305115343,0,0,50.72185,34.83913,-7.6,3.759765E-18,0,0.2714356
305115468,0,0,50.75035,34.83913,-7.6,3.782325E-18,0,0.1936793
305115609,1,0,50.77328,34.83754,-7.599988,0.03062442,0,0.2283579
305115703,1,0,50.76148,34.81224,-7.599702,0.3799598,0,0.05090051
305115812,1,0,50.68266,34.72863,-7.598641,1.016492,0,0.0178023
305115953,1,0,50.51611,34.56028,-7.596445,1.741145,0,0.07796911
305116078,1,0,50.26129,34.30363,-7.59285,2.52022,0,0.0480379
305116187,1,0,49.90866,33.95228,-7.587069,3.329605,0,0.05013786
305116312,1,0,49.46556,33.51013,-7.578421,4.095464,0,0.04600152
305116421,1,0,48.92944,32.97797,-7.56602,4.8477,0,0.05013786
305116546,1,0,48.3068,32.36045,-7.548919,5.71141,0,0.009931793
305116656,1,0,47.59849,31.65865,-7.525823,6.465429,0,0.02832152
305116781,1,0,46.78144,30.8511,-7.494933,7.181513,0,0.05113174
305116906,1,0,45.87819,29.95829,-7.454844,7.898369,0,0.05556892
305117046,1,0,44.89051,28.98229,-7.404039,8.591346,0,0.04105503
305117156,1,0,43.82365,27.92962,-7.341126,9.293888,0,0.00984164
305117265,1,0,42.67917,26.80142,-7.264105,9.95245,0,0.02387305
305117375,1,0,41.45113,25.59136,-7.170239,10.5243,0,0.0124354
305117515,1,0,40.13898,24.30064,-7.058187,11.30219,0,0.004242355
305117625,1,0,38.75665,22.94211,-6.927021,12.04728,0,0.007110135
305117734,1,0,37.29946,21.51184,-6.774822,12.26324,0,0
305117859,1,0,35.75575,19.99689,-6.60362,13.44639,0,0
305117984,1,0,34.141,18.41547,-6.418962,13.93101,0,0.1033748
305118109,1,0,32.44978,16.76793,-6.223526,14.34848,0,0
305118218,1,0,30.68262,15.05807,-6.020018,15.12395,0,0.07370366
305118343,1,0,28.8413,13.30057,-5.823107,15.7777,0,0.02663388
305118468,1,0,26.9312,11.51624,-5.643352,16.34132,0,0.05872266
305118593,1,0,24.95607,9.735003,-5.484449,16.75094,0,0.06833965
305118703,1,0,22.91475,8.018612,-5.350135,17.44105,0,0.03421175
305118828,1,0,20.81773,6.493224,-5.24348,17.93989,0,0.1245855
305118953,1,0,18.66741,5.407676,-5.161223,18.61151,0,0.08600024
305119078,1,0,16.47483,5.140122,-5.095233,19.11363,0,0.1422885
305119187,1,0,14.24819,5.877105,-5.034802,19.72612,0,0.1656492
305119312,1,0,12.00719,7.381729,-4.971887,20.27832,0,0.160775
305119421,1,0,9.781396,9.337031,-4.899155,20.85715,0,0.2612976
305119546,1,0,7.632074,11.55269,-4.80337,21.4216,0,0.1728708
305119656,1,0,5.730756,13.93477,-4.669058,21.98011,0,0.1494407
305119781,1,0,4.535193,16.43895,-4.488479,22.53676,0,0.0969483
305119906,1,0,4.746174,19.04469,-4.26569,23.08417,0,0.1437942
305120031,1,0,6.304171,21.74174,-4.011167,23.62982,0,0.249549
305120156,1,0,8.560489,24.52531,-3.742778,24.17235,0,0.3461355
305120265,1,0,11.13421,27.38947,-3.467961,24.70564,0,0.4662611
305120390,1,0,13.8744,30.32841,-3.18718,25.22427,0,0.6683161
305120515,1,0,16.72533,33.33811,-2.900662,25.73252,0,0.7805137
305120640,1,0,19.65453,36.41543,-2.608547,26.23091,0,0.9457992
305120750,1,0,22.64343,39.5581,-2.312158,26.71982,0,1.128116
305120875,1,0,25.69564,42.76542,-2.02155,27.20003,0,1.116996
305121000,1,0,28.84004,46.03745,-1.755161,27.67232,0,0.8206753
305121093,1,0,32.08206,49.36095,-1.536249,27.85883,0,0.5040231
305121218,1,0,35.36639,52.69466,-1.382724,27.85864,0,0.2720369
305121343,1,0,38.66835,56.03374,-1.30378,27.85884,0,0.231282
305121484,1,0,41.98303,59.37583,-1.301384,27.8587,0,0.2108493
305121578,1,0,45.29918,62.71882,-1.378331,27.85861,0,0.2556334
305121703,1,0,48.60157,66.06111,-1.525166,27.85889,0,0.402614
305121828,1,0,51.88264,69.40218,-1.721408,27.85919,0,0.5747235
305121953,1,0,55.13889,72.7428,-1.936182,27.85926,0,0.748399
305122062,1,0,58.37344,76.0835,-2.154869,27.85927,0,0.9832807
305122187,1,0,61.58153,79.42434,-2.37517,27.85926,0,1.204452
305122312,1,0,64.76834,82.76555,-2.589775,27.85915,0,1.325421
305122421,1,0,67.96033,86.10753,-2.781433,27.85899,0,1.166787
305122546,1,0,71.18323,89.45033,-2.928524,27.85892,0,0.846277
305122671,1,0,74.4474,92.79325,-3.013546,27.85869,0,0.5737503
305122796,1,0,77.73472,96.13496,-3.027503,27.85872,0,0.4040572
305122906,1,0,81.0324,99.47393,-2.966397,27.85876,0,0.360309
305123031,1,0,84.33086,102.8082,-2.820415,27.85888,0,0.2798224
305123156,1,0,87.6266,106.136,-2.589186,27.85901,0,0.2427828
305123265,1,0,90.9111,109.4559,-2.27249,27.85882,0,0.3070828
305123390,1,0,94.18491,112.7665,-1.87028,27.85879,0,0.2919398
305123500,1,0,97.4507,116.0665,-1.38271,27.85888,0,0.2475027
305123625,1,0,100.7047,119.3546,-0.8100195,27.859,0,0.2782437
305123765,1,0,103.9436,122.63,-0.1548474,27.85881,0,0.3852009
305123859,1,0,107.1528,125.9037,0.527975,27.85899,0,0.7074319
305124000,1,0,110.3469,129.1837,1.196427,27.85905,0,0.7783071
305124109,1,0,113.5573,132.4733,1.830125,27.85886,0,0.6313655
305124218,1,0,116.8034,135.7745,2.408744,27.85893,0,0.4242744
305124359,1,0,120.079,139.0875,2.919634,27.85891,1,0.2171937
305124468,1,0,123.3887,142.411,3.354836,27.85887,1,0.0581719
305124593,1,0,126.7175,145.7428,3.709551,27.85883,1,0.01899724
305124703,1,0,130.0547,149.0806,3.981037,27.85881,1,0
305124812,1,0,133.3956,152.4222,4.167777,27.8588,1,0.00846126
305124953,1,0,136.7374,155.7652,4.269176,27.85903,1,0
305125078,1,0,140.0791,159.1078,4.305536,27.85928,1,0.01388955
305125187,1,0,143.4208,162.4505,4.344926,27.85912,1,0.0596725
305125312,1,0,146.7616,165.7935,4.410975,27.8589,1,0.03695468
305125421,1,0,150.1033,169.1364,4.525901,27.85892,1,0
305125546,1,0,153.4434,172.4785,4.699074,27.85925,1,0.0001404897
305125656,1,0,156.782,175.8204,4.879819,27.85915,1,0.05518259
305125796,1,0,160.122,179.1628,5.038292,27.85896,1,0.03971705
305125906,1,0,163.4627,182.5058,5.153678,27.85889,1,0.006193472
305126015,1,0,166.8048,185.8486,5.208113,27.85893,1,0
305126140,1,0,170.1439,189.1899,5.194215,27.85878,1,0.05147875
305126265,1,0,173.4777,192.5279,5.102517,27.8588,1,0
305126390,1,0,176.7947,195.8606,4.926904,27.8588,0,0.2230247
305126500,1,0,180.0879,199.1861,4.666507,27.85879,0,0.2996432
305126625,1,0,183.363,202.5026,4.320886,27.85879,0,0.3338067
305126750,1,0,186.6284,205.8083,3.889946,27.85889,0,0.3741753
305126859,1,0,189.8765,209.1017,3.373778,27.859,0,0.3827995
305127000,1,0,193.1065,212.3818,2.776591,27.86028,0,0.4625483
305127093,1,0,196.3028,215.6589,2.152958,27.85923,0,0.740337
305127234,1,0,199.4801,218.9407,1.543883,27.85906,0,0.9073588
305127343,1,0,202.6743,222.2308,0.969974,27.85888,0,0.734652
305127468,1,0,205.8937,225.5313,0.4483594,27.85966,0,0.6842719
305127593,1,0,209.1091,228.8405,-0.0225544,27.8593,0,0.8817214
305127718,1,0,212.2968,232.1559,-0.4559729,27.85927,0,1.200569
305127828,1,0,215.4507,235.4734,-0.8787334,27.85927,0,1.540579
305127953,1,0,218.5653,238.7918,-1.299518,27.85927,0,1.807915
305128062,1,0,221.6449,242.111,-1.719355,27.85927,0,2.182139
305128187,1,0,224.6786,245.431,-2.137801,27.85924,0,2.55716
305128296,1,0,227.6814,248.7529,-2.545458,27.85912,0,2.75072
305128421,1,0,230.6827,252.0783,-2.924477,27.85886,0,2.6712
305128546,1,0,233.708,255.4089,-3.252958,27.85855,0,2.477941
305128656,1,0,236.76,258.7447,-3.516169,27.85886,0,2.306009
305128781,1,0,239.8387,262.0847,-3.705052,27.85887,0,2.118265
305128906,1,0,242.9371,265.4271,-3.814104,27.85851,0,1.960572
305129031,1,0,246.0535,268.7701,-3.843871,27.85815,0,1.870261
305129171,1,0,249.1552,272.1121,-3.808499,27.85907,0,2.119517
305129265,1,0,252.2121,275.4525,-3.721271,27.85912,0,2.548461
305129390,1,0,255.215,278.7922,-3.61444,27.85924,0,3.002686
305129515,1,0,258.1669,282.1316,-3.498844,27.85917,0,3.370256
305129625,1,0,261.0968,285.47,-3.362123,27.85896,0,3.404853
305129750,1,0,264.0366,288.806,-3.183948,27.85871,0,3.234331
305129859,1,0,266.9952,292.1378,-2.945918,27.85891,0,3.041944
305129984,1,0,269.971,295.4635,-2.637202,27.85889,0,2.845144
305130109,1,0,272.9634,298.7808,-2.251115,27.85886,0,2.62569
305130234,1,0,275.9676,302.0877,-1.783906,27.85883,0,2.449265
305130343,1,0,278.9834,305.3823,-1.233688,27.8588,0,2.262794
305130468,1,0,281.9964,308.6646,-0.6091576,27.85923,0,2.350499
305130578,1,0,284.9694,311.947,0.0218246,27.85919,0,2.667772
305130718,1,0,287.9254,315.2344,0.6330765,27.85902,0,2.746912
305130828,1,0,290.9007,318.53,1.203496,27.85866,0,2.559611
305130937,1,0,293.9083,321.8361,1.714565,27.85888,0,2.411072
305131078,1,0,296.9506,325.1524,2.155257,27.85889,0,2.176168
305131187,1,0,300.0218,328.4781,2.518584,27.85885,0,2.066695
305131312,1,0,303.1228,331.8114,2.800414,27.85883,0,1.816674
305131421,1,0,306.2524,335.1501,2.998448,27.85891,0,1.670108
305131546,1,0,309.4065,338.492,3.111422,27.85849,0,1.528457
305131671,1,0,312.5755,341.835,3.140027,27.85857,0,1.383508
305131781,1,0,315.7654,345.1769,3.08641,27.85868,0,1.142238
305131906,1,0,318.9797,348.5154,2.943876,27.85884,0,0.942519
305132031,1,0,322.2106,351.8485,2.714049,27.85898,0,0.8089367
305132156,1,0,325.4421,355.1745,2.40173,27.85936,0,0.8748669
305132265,1,0,328.6328,358.4991,2.071396,27.85919,0,1.291718
305132390,1,0,331.7952,361.8258,1.758013,27.85904,0,1.365356
305132500,1,0,334.9624,365.1562,1.482891,27.85889,0,1.30453
