Time = 12:40:7.293, Vertical = 0.5255386, Distance = 36.20872, Driven = 30.47899, Gap = -1.4782071.5,Speed = 12.59092
Time = 12:40:7.425, Vertical = 0.5255386, Distance = 36.26778, Driven = 32.00886, Gap = -1.4771011.5,Speed = 12.86129
Time = 12:40:7.528, Vertical = 0.5255386, Distance = 36.17978, Driven = 33.57094, Gap = -1.4759711.5,Speed = 13.12831
Time = 12:40:7.658, Vertical = 0.5255386, Distance = 35.94712, Driven = 35.16483, Gap = -1.4748181.5,Speed = 13.39202
Time = 12:40:7.794, Vertical = 0.5255386, Distance = 35.57216, Driven = 36.79013, Gap = -1.4736431.5,Speed = 13.65247
Time = 12:40:7.894, Vertical = 0.5255386, Distance = 35.05721, Driven = 38.44646, Gap = -1.4724451.5,Speed = 13.9097
Time = 12:40:8.27, Vertical = 0.5255386, Distance = 34.40455, Driven = 40.13344, Gap = -1.4712261.5,Speed = 14.16374
Time = 12:40:8.127, Vertical = 0.5255386, Distance = 33.61643, Driven = 41.85068, Gap = -1.4699841.5,Speed = 14.41463
Time = 12:40:8.263, Vertical = 0.5255386, Distance = 32.69505, Driven = 43.59781, Gap = -1.468721.5,Speed = 14.66241
Time = 12:40:8.392, Vertical = 0.5255386, Distance = 31.64258, Driven = 45.37446, Gap = -1.4674351.5,Speed = 14.90713
Time = 12:40:8.494, Vertical = 0.5255386, Distance = 30.46138, Driven = 47.18026, Gap = -1.4661291.5,Speed = 15.14882
Time = 12:40:8.626, Vertical = 0.5255386, Distance = 29.16105, Driven = 49.01485, Gap = -1.4648031.5,Speed = 15.38751
Time = 12:40:8.757, Vertical = 0.5255386, Distance = 27.87425, Driven = 50.87789, Gap = -1.4634561.5,Speed = 15.62325
Time = 12:40:8.912, Vertical = 0.5255386, Distance = 26.6482, Driven = 52.769, Gap = -1.4620881.5,Speed = 15.85606
Time = 12:40:8.976, Vertical = 0.5255386, Distance = 25.48124, Driven = 54.68785, Gap = -1.46071.5,Speed = 16.086
Time = 12:40:9.147, Vertical = 0.5255386, Distance = 24.37627, Driven = 56.63409, Gap = -1.4592931.5,Speed = 16.31308
Time = 12:40:9.211, Vertical = 0.5255386, Distance = 23.33051, Driven = 58.60738, Gap = -1.4578661.5,Speed = 16.53736
Time = 12:40:9.374, Vertical = 0.5255386, Distance = 22.34399, Driven = 60.6074, Gap = -1.456421.5,Speed = 16.75885
Time = 12:40:9.475, Vertical = 0.5255386, Distance = 21.41566, Driven = 62.6338, Gap = -1.4549541.5,Speed = 16.9776
Time = 12:40:9.575, Vertical = 0.5255386, Distance = 20.5448, Driven = 64.68626, Gap = -1.453471.5,Speed = 17.19364
Time = 12:40:9.707, Vertical = 0.5255386, Distance = 19.73064, Driven = 66.76447, Gap = -1.4519671.5,Speed = 17.40701
Time = 12:40:9.837, Vertical = 0.5255386, Distance = 18.97242, Driven = 68.86809, Gap = -1.4504461.5,Speed = 17.61773
Time = 12:40:9.938, Vertical = 0.5255386, Distance = 18.26938, Driven = 70.99681, Gap = -1.4489071.5,Speed = 17.82585
Time = 12:40:10.70, Vertical = 0.5255386, Distance = 17.62079, Driven = 73.15032, Gap = -1.447351.5,Speed = 18.03139
Time = 12:40:10.170, Vertical = 0.5255386, Distance = 17.02595, Driven = 75.32833, Gap = -1.4457751.5,Speed = 18.23437
Time = 12:40:10.302, Vertical = 0.5255386, Distance = 16.48419, Driven = 77.53051, Gap = -1.4441821.5,Speed = 18.43484
Time = 12:40:10.436, Vertical = 0.5255386, Distance = 15.99485, Driven = 79.75658, Gap = -1.4425721.5,Speed = 18.63284
Time = 12:40:10.536, Vertical = 0.5255386, Distance = 15.55729, Driven = 82.00623, Gap = -1.4409451.5,Speed = 18.82837
Time = 12:40:10.667, Vertical = 0.5255386, Distance = 15.17085, Driven = 84.27917, Gap = -1.4393021.5,Speed = 19.02149
Time = 12:40:10.768, Vertical = 0.5255386, Distance = 14.83489, Driven = 86.57513, Gap = -1.4376421.5,Speed = 19.21221
Time = 12:40:10.902, Vertical = 0.5255386, Distance = 14.54881, Driven = 88.8938, Gap = -1.4359651.5,Speed = 19.40057
Time = 12:40:11.34, Vertical = 0.5255386, Distance = 14.31197, Driven = 91.23491, Gap = -1.4342721.5,Speed = 19.58659
Time = 12:40:11.138, Vertical = 0.5255386, Distance = 14.12376, Driven = 93.59819, Gap = -1.4325631.5,Speed = 19.77032
Time = 12:40:11.270, Vertical = 0.5255386, Distance = 13.98359, Driven = 95.98334, Gap = -1.4308381.5,Speed = 19.95176
Time = 12:40:11.373, Vertical = 0.5255386, Distance = 13.89084, Driven = 98.39011, Gap = -1.4290981.5,Speed = 20.13096
Time = 12:40:11.502, Vertical = 0.5255386, Distance = 13.84495, Driven = 100.8182, Gap = -1.4273421.5,Speed = 20.30794
Time = 12:40:11.633, Vertical = 0.5255386, Distance = 13.84531, Driven = 103.2674, Gap = -1.4255711.5,Speed = 20.48272
Time = 12:40:11.738, Vertical = 0.5255386, Distance = 13.89135, Driven = 105.7375, Gap = -1.4237841.5,Speed = 20.65534
Time = 12:40:11.868, Vertical = 0.5255386, Distance = 13.9825, Driven = 108.2281, Gap = -1.4219831.5,Speed = 20.82582
Time = 12:40:11.969, Vertical = 0.5255386, Distance = 14.11822, Driven = 110.739, Gap = -1.4201681.5,Speed = 20.99419
Time = 12:40:12.101, Vertical = 0.5255386, Distance = 14.29792, Driven = 113.27, Gap = -1.4183371.5,Speed = 21.16047
Time = 12:40:12.230, Vertical = 0.5255386, Distance = 14.52111, Driven = 115.8207, Gap = -1.4164931.5,Speed = 21.3247
Time = 12:40:12.331, Vertical = 0, Distance = 14.7872, Driven = 118.3911, Gap = -1.4146341.5,Speed = 21.48721
Time = 12:40:17.620, Vertical = 1, Distance = 16.00117, Driven = 0.007708475, Gap = -1.51.5,Speed = 0.007331547
Time = 12:40:17.721, Vertical = 1, Distance = 16.00497, Driven = 0.007890655, Gap = -1.5000031.5,Speed = 0.02391474
Time = 12:40:17.858, Vertical = 1, Distance = 16.00756, Driven = 0.01009263, Gap = -1.5000091.5,Speed = 0.0630703
Time = 12:40:17.960, Vertical = 1, Distance = 16.00662, Driven = 0.02207656, Gap = -1.5000071.5,Speed = 0.1547972
Time = 12:40:18.90, Vertical = 1, Distance = 15.99964, Driven = 0.04567641, Gap = -1.4999991.5,Speed = 0.2413735
Time = 12:40:18.206, Vertical = 1, Distance = 15.98947, Driven = 0.07905668, Gap = -1.5000011.5,Speed = 0.3041179
Time = 12:40:18.362, Vertical = 1, Distance = 15.9817, Driven = 0.1219875, Gap = -1.500011.5,Speed = 0.404373
Time = 12:40:18.473, Vertical = 1, Distance = 15.97626, Driven = 0.1785186, Gap = -1.5000151.5,Speed = 0.5199825
Time = 12:40:18.600, Vertical = 1, Distance = 15.97232, Driven = 0.252062, Gap = -1.5000041.5,Speed = 0.6869416
Time = 12:40:18.723, Vertical = 1, Distance = 15.97077, Driven = 0.3492103, Gap = -1.4999661.5,Speed = 0.8898397
Time = 12:40:18.801, Vertical = 1, Distance = 15.96955, Driven = 0.4752371, Gap = -1.499911.5,Speed = 1.165443
Time = 12:40:18.959, Vertical = 1, Distance = 15.97106, Driven = 0.635516, Gap = -1.4998481.5,Speed = 1.470236
Time = 12:40:19.60, Vertical = 1, Distance = 15.9725, Driven = 0.8366202, Gap = -1.4997721.5,Speed = 1.836161
Time = 12:40:19.158, Vertical = 1, Distance = 15.97324, Driven = 1.087104, Gap = -1.4996791.5,Speed = 2.277036
Time = 12:40:19.286, Vertical = 1, Distance = 15.97308, Driven = 1.395558, Gap = -1.4995631.5,Speed = 2.789989
Time = 12:40:19.422, Vertical = 1, Distance = 15.97208, Driven = 1.77051, Gap = -1.4994231.5,Speed = 3.373366
