05634
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
395234,0,0,50.57593,34.83913,-7.6,1.798983E-18,0,0.05624444
395406,0,0,50.58362,34.83913,-7.6,1.798983E-18,0,0.06557836
395500,0,0,50.59308,34.83913,-7.6,1.798983E-18,0,0.06954717
395593,0,0,50.60281,34.83913,-7.6,1.798983E-18,0,0.1081273
395765,0,0,50.61842,34.83913,-7.6,1.798983E-18,0,0.1532027
395828,0,0,50.639,34.83913,-7.6,1.798983E-18,0,0.2415867
395968,0,0,50.6641,34.83913,-7.6,1.798983E-18,0,0.1784279
396109,0,0,50.69091,34.83913,-7.6,1.8135E-18,0,0.223249
396203,0,0,50.71324,34.83913,-7.6,1.813447E-18,0,0.1722943
396312,1,0,50.71859,34.83234,-7.599924,0.147579,0,0.08517046
396531,1,0,50.67799,34.78728,-7.599331,0.5583637,0,0.01169124
396609,1,0,50.56564,34.67327,-7.597801,1.286915,0,0.06570819
396734,1,0,50.36523,34.47316,-7.594874,2.003242,0,0.02048031
396812,1,0,50.07998,34.18747,-7.59017,2.747336,0,0.02969183
396921,1,0,49.70155,33.81133,-7.583009,3.523773,0,0
397078,1,0,49.23355,33.34492,-7.572639,4.288697,0,0.07308138
397140,1,0,48.67252,32.78916,-7.558115,5.045032,0,0.003901743
397281,1,0,48.0311,32.15228,-7.538543,5.795247,0,0.01845343
397453,1,0,47.31029,31.4384,-7.512735,6.392096,0,0.01146466
397531,1,0,46.49962,30.63734,-7.479715,6.921132,0,0.007824516
397640,1,0,45.60747,29.75716,-7.437656,7.726214,0,0
397812,1,0,44.63677,28.79752,-7.385343,8.40579,0,0.01531259
397859,1,0,43.58332,27.75586,-7.319861,9.076236,0,0.05111717
398015,1,0,42.44617,26.63418,-7.239103,9.737298,0,0.01610015
398109,1,0,41.2267,25.43285,-7.14234,10.42668,0,0.001972279
398250,1,0,39.9208,24.14816,-7.030006,11.31686,0,0.001316539
398437,1,0,38.53875,22.78728,-6.905633,11.74833,0,0.03760901
398546,1,0,37.07498,21.35074,-6.773381,12.47791,0,0.03220989
398671,1,0,35.53596,19.8458,-6.640511,13.01173,0,0.08745714
398750,1,0,33.91969,18.27594,-6.513301,13.82674,0,0.0564279
398859,1,0,32.23106,16.65125,-6.398744,14.42856,0,0.07309403
399031,1,0,30.47044,14.98193,-6.300563,15.08123,0,0.01806843
399125,1,0,28.64172,13.28174,-6.218112,15.75037,0,0.02077429
399265,1,0,26.75263,11.57336,-6.145638,16.19369,0,0.05473933
399328,1,0,24.7968,9.884977,-6.070105,16.90974,0,0.06978083
399453,1,0,22.78467,8.285452,-5.990116,17.42801,0,0.1722701
399562,1,0,20.715,6.904627,-5.906749,18.07453,0,0.2126421
399687,1,0,18.59672,5.976493,-5.820405,18.62527,0,0.2433613
399921,1,0,16.44255,5.81056,-5.73443,19.24963,0,0.2807017
399921,1,0,14.25807,6.553989,-5.665495,19.80889,0,0.249225
400078,1,0,12.07109,8.023582,-5.623739,20.39088,0,0.2055271
400187,1,0,9.943681,9.955747,-5.619047,20.95399,0,0.1329507
400359,1,0,8.000614,12.17408,-5.656514,21.51098,0,0.143401
400437,1,0,6.500726,14.58339,-5.740574,22.06015,0,0.1607864
400578,1,0,5.874891,17.12901,-5.861791,22.59913,0,0.3340054
400640,1,0,6.424879,19.77758,-5.994185,23.13997,0,0.4725105
400765,1,0,7.947439,22.51364,-6.129815,23.67452,0,0.6735979
400890,1,0,10.04451,25.32793,-6.262943,24.20096,0,0.7166639
401031,1,0,12.46091,28.21245,-6.378808,24.71773,0,0.6597892
401203,1,0,15.09182,31.16113,-6.460854,25.22509,0,0.4331025
401265,1,0,17.87579,34.16956,-6.494282,25.72469,0,0.363587
401375,1,0,20.77318,37.23528,-6.472049,26.21607,0,0.2948329
401546,1,0,23.76331,40.35462,-6.379732,26.6998,0,0.2353377
401609,1,0,26.82309,43.52541,-6.210278,27.17641,0,0.2787828
401718,1,0,29.94884,46.74579,-5.958344,27.6464,0,0.219043
401828,1,0,33.12666,50.00327,-5.620228,27.77778,0,0.211059
402015,1,0,36.31175,53.25662,-5.196977,27.77778,0,0.2302278
402125,1,0,39.49508,56.50088,-4.68546,27.77778,0,0.1698996
402187,1,0,42.67353,59.73347,-4.078907,27.77778,0,0.2276347
402328,1,0,45.84972,62.95383,-3.379722,27.77778,0,0.1799209
402437,1,0,49.01692,66.16271,-2.592252,27.77778,0,0.1792473
402671,1,0,52.17538,69.36013,-1.719094,27.77778,0,0.2360927
402687,1,0,55.32993,72.54581,-0.761884,27.77778,0,0.2074527
402859,1,0,58.48165,75.71944,0.2779721,27.77778,0,0.1673749
402906,1,0,61.61432,78.88338,1.391337,27.77778,0,0.3636425
403046,1,0,64.72797,82.04278,2.5613,27.77778,0,0.5356129
403171,1,0,67.81833,85.20498,3.764772,27.77778,0,0.8445721
403312,1,0,70.89518,88.37827,4.974972,27.77778,0,0.9834855
403375,1,0,73.95493,91.56313,6.186831,27.77778,0,1.243248
403500,1,0,77.01087,94.76138,7.39056,27.77778,0,1.325583
403625,1,0,80.09163,97.97614,8.569921,27.77778,0,1.131152
403828,1,0,83.23013,101.2094,9.7085,27.77778,0,0.8098747
403890,1,0,86.42508,104.4633,10.79512,27.77778,0,0.5104323
404000,1,0,89.66096,107.7366,11.81972,27.77778,0,0.3702733
404171,1,0,92.92474,111.0277,12.77287,27.77778,0,0.3362791
404234,1,0,96.20498,114.3343,13.64799,27.77778,0,0.3085546
404390,1,0,99.49778,117.6541,14.43999,27.77778,0,0.3170614
404500,1,0,102.7959,120.984,15.14507,27.77778,0,0.3022905
404656,0,0,106.0946,124.3195,15.76015,27.77778,0,0.3519424
