Time = 1:14:12.931, Vertical = 0, Distance = 16.00011, Driven = 0.006863128, Gap = -1.51.5,Speed = 0.0002238139
Time = 1:14:13.44, Vertical = 0, Distance = 16.00472, Driven = 0.007460537, Gap = -1.51.5,Speed = 0.004946188
Time = 1:14:13.154, Vertical = 1, Distance = 16.01294, Driven = 0.007698173, Gap = -1.51.5,Speed = 0.01327215
Time = 1:14:13.276, Vertical = 1, Distance = 16.02113, Driven = 0.01042876, Gap = -1.5000061.5,Speed = 0.08594216
Time = 1:14:13.419, Vertical = 1, Distance = 16.02451, Driven = 0.02751987, Gap = -1.5000081.5,Speed = 0.214894
Time = 1:14:13.524, Vertical = 1, Distance = 16.01437, Driven = 0.06755848, Gap = -1.5000031.5,Speed = 0.4265252
Time = 1:14:13.644, Vertical = 1, Distance = 15.98877, Driven = 0.1345712, Gap = -1.4999861.5,Speed = 0.6661272
Time = 1:14:13.756, Vertical = 1, Distance = 15.94547, Driven = 0.2310749, Gap = -1.4999521.5,Speed = 0.9051283
Time = 1:14:13.877, Vertical = 1, Distance = 15.88799, Driven = 0.3568505, Gap = -1.4999211.5,Speed = 1.160676
Time = 1:14:13.994, Vertical = 1, Distance = 15.8154, Driven = 0.5182228, Gap = -1.4999051.5,Speed = 1.48395
Time = 1:14:14.112, Vertical = 1, Distance = 15.72594, Driven = 0.7220005, Gap = -1.4998871.5,Speed = 1.863551
Time = 1:14:14.241, Vertical = 1, Distance = 15.61807, Driven = 0.9766372, Gap = -1.4998661.5,Speed = 2.316892
Time = 1:14:14.351, Vertical = 1, Distance = 15.48811, Driven = 1.290298, Gap = -1.5067661.5,Speed = 2.833345
Time = 1:14:14.525, Vertical = 1, Distance = 15.3312, Driven = 1.667613, Gap = -1.5472671.5,Speed = 3.396324
Time = 1:14:14.591, Vertical = 1, Distance = 15.14418, Driven = 2.1192, Gap = -1.6103351.5,Speed = 4.066234
Time = 1:14:14.723, Vertical = 1, Distance = 14.9289, Driven = 2.656933, Gap = -1.6664581.5,Speed = 4.794132
Time = 1:14:14.837, Vertical = 1, Distance = 14.69139, Driven = 3.283595, Gap = -1.7149951.5,Speed = 5.475022
Time = 1:14:14.982, Vertical = 1, Distance = 14.43744, Driven = 3.996525, Gap = -1.7336571.5,Speed = 6.213188
Time = 1:14:15.88, Vertical = 1, Distance = 14.17344, Driven = 4.788162, Gap = -1.6918321.5,Speed = 6.899757
Time = 1:14:15.193, Vertical = 1, Distance = 13.91002, Driven = 5.667907, Gap = -1.6440041.5,Speed = 7.624464
Time = 1:14:15.321, Vertical = 1, Distance = 13.64572, Driven = 6.635144, Gap = -1.6050311.5,Speed = 8.348122
Time = 1:14:15.453, Vertical = 1, Distance = 13.38508, Driven = 7.688008, Gap = -1.5637221.5,Speed = 9.064247
Time = 1:14:15.551, Vertical = 1, Distance = 13.1285, Driven = 8.824464, Gap = -1.5420631.5,Speed = 9.745246
Time = 1:14:15.675, Vertical = 1, Distance = 12.87419, Driven = 10.04272, Gap = -1.5459811.5,Speed = 10.43571
Time = 1:14:15.802, Vertical = 1, Distance = 12.6235, Driven = 11.34268, Gap = -1.5488341.5,Speed = 11.115
Time = 1:14:15.929, Vertical = 1, Distance = 12.37619, Driven = 12.7235, Gap = -1.5536161.5,Speed = 11.78548
Time = 1:14:16.44, Vertical = 1, Distance = 12.13216, Driven = 14.18419, Gap = -1.5615031.5,Speed = 12.44762
Time = 1:14:16.159, Vertical = 1, Distance = 11.89128, Driven = 15.72375, Gap = -1.5718821.5,Speed = 13.10156
Time = 1:14:16.284, Vertical = 1, Distance = 11.65301, Driven = 17.33964, Gap = -1.5594331.5,Speed = 13.71713
Time = 1:14:16.389, Vertical = 1, Distance = 11.41755, Driven = 19.02626, Gap = -1.4735061.5,Speed = 14.33924
Time = 1:14:16.521, Vertical = 1, Distance = 11.18684, Driven = 20.78734, Gap = -1.351191.5,Speed = 14.96861
Time = 1:14:16.641, Vertical = 1, Distance = 10.96175, Driven = 22.62275, Gap = -1.2042161.5,Speed = 15.59103
Time = 1:14:16.768, Vertical = 1, Distance = 10.73956, Driven = 24.53178, Gap = -1.0732641.5,Speed = 16.16313
Time = 1:14:16.885, Vertical = 1, Distance = 10.51624, Driven = 26.51309, Gap = -1.0035681.5,Speed = 16.76579
Time = 1:14:17.1, Vertical = 1, Distance = 10.2943, Driven = 28.56699, Gap = -0.95802351.5,Speed = 17.36544
Time = 1:14:17.116, Vertical = 1, Distance = 10.0735, Driven = 30.69238, Gap = -0.93221381.5,Speed = 17.95853
Time = 1:14:17.232, Vertical = 0, Distance = 9.854055, Driven = 32.88826, Gap = -0.92268971.5,Speed = 18.54421
Time = 1:14:17.361, Vertical = 0, Distance = 9.641618, Driven = 35.14836, Gap = -0.92583881.5,Speed = 19.00232
Time = 1:14:17.484, Vertical = 0, Distance = 9.466775, Driven = 37.44138, Gap = -0.93941491.5,Speed = 19.15351
Time = 1:14:17.593, Vertical = 0, Distance = 9.363654, Driven = 39.73256, Gap = -0.96028771.5,Speed = 19.02052
Time = 1:14:17.732, Vertical = 1, Distance = 9.355702, Driven = 41.99767, Gap = -0.98876531.5,Speed = 18.77851
Time = 1:14:17.845, Vertical = 1, Distance = 9.434357, Driven = 44.23926, Gap = -1.077051.5,Speed = 18.68635
Time = 1:14:17.962, Vertical = 1, Distance = 9.45477, Driven = 46.48846, Gap = -1.2201951.5,Speed = 18.90405
Time = 1:14:18.84, Vertical = 1, Distance = 9.312818, Driven = 48.77283, Gap = -1.3968271.5,Speed = 19.27833
Time = 1:14:18.205, Vertical = 1, Distance = 8.990719, Driven = 51.11522, Gap = -1.6028161.5,Speed = 19.83141
Time = 1:14:18.331, Vertical = 1, Distance = 8.47994, Driven = 53.52539, Gap = -1.7912151.5,Speed = 20.34555
Time = 1:14:18.437, Vertical = 1, Distance = 7.776784, Driven = 55.99756, Gap = -1.8403881.5,Speed = 20.82074
Time = 1:14:18.559, Vertical = 0, Distance = 6.886168, Driven = 58.53247, Gap = -1.7615181.5,Speed = 21.35273
Time = 1:14:18.681, Vertical = 0, Distance = 5.826309, Driven = 61.11671, Gap = -1.5878391.5,Speed = 21.75158
Time = 1:14:18.796, Vertical = 0, Distance = 4.627372, Driven = 63.73033, Gap = -1.3340371.5,Speed = 21.93615
Time = 1:14:18.913, Vertical = 0, Distance = 4.481529, Driven = 65.79163, Gap = -1.0593771.5,Speed = 16.922
Time = 1:14:19.30, Vertical = 0, Distance = 4.538783, Driven = 67.69402, Gap = -1.0025581.5,Speed = 15.71033
Time = 1:14:19.163, Vertical = 0, Distance = 4.542645, Driven = 69.5412, Gap = -1.0233011.5,Speed = 15.168
Time = 1:14:19.279, Vertical = 0, Distance = 4.529492, Driven = 71.3213, Gap = -1.0709611.5,Speed = 14.60774
Time = 1:14:19.395, Vertical = 0, Distance = 4.512205, Driven = 73.03329, Gap = -1.1174321.5,Speed = 14.0346
Time = 1:14:19.511, Vertical = 0, Distance = 4.495676, Driven = 74.67638, Gap = -1.1514151.5,Speed = 13.4558
Time = 1:14:19.643, Vertical = 0, Distance = 4.489386, Driven = 76.24771, Gap = -1.1643741.5,Speed = 12.84868
Time = 1:14:19.764, Vertical = 0, Distance = 4.488935, Driven = 77.75018, Gap = -1.1661781.5,Speed = 12.28829
Time = 1:14:19.871, Vertical = 1, Distance = 4.488906, Driven = 79.18563, Gap = -1.1674251.5,Speed = 11.69739
Time = 1:14:19.995, Vertical = 0, Distance = 4.539999, Driven = 80.59595, Gap = -1.168061.5,Speed = 11.81314
Time = 1:14:20.130, Vertical = 0, Distance = 4.662491, Driven = 82.01287, Gap = -1.1749611.5,Speed = 11.75488
Time = 1:14:20.230, Vertical = 0, Distance = 4.876409, Driven = 83.40903, Gap = -1.2380681.5,Speed = 11.58055
Time = 1:14:20.349, Vertical = 0, Distance = 5.18203, Driven = 84.78499, Gap = -1.3347631.5,Speed = 11.43612
Time = 1:14:20.481, Vertical = 0, Distance = 5.579728, Driven = 86.14346, Gap = -1.436331.5,Speed = 11.29454
Time = 1:14:20.598, Vertical = 0, Distance = 6.070422, Driven = 87.48479, Gap = -1.5426791.5,Speed = 11.15505
Time = 1:14:20.727, Vertical = 0, Distance = 6.651476, Driven = 88.80952, Gap = -1.6306931.5,Speed = 10.98734
Time = 1:14:20.842, Vertical = 0, Distance = 7.318643, Driven = 90.11702, Gap = -1.6690091.5,Speed = 10.84419
Time = 1:14:20.958, Vertical = 0, Distance = 8.075333, Driven = 91.40847, Gap = -1.698441.5,Speed = 10.70829
Time = 1:14:21.82, Vertical = 0, Distance = 8.919844, Driven = 92.68397, Gap = -1.7245771.5,Speed = 10.57592
